Sn	Sp
1	0.452958
1	0.453962
1	0.454966
1	0.455976
1	0.456971
1	0.457961
1	0.459023
1	0.460075
1	0.461024
1	0.46199
1	0.462993
1	0.463975
1	0.464922
1	0.46592
1	0.466893
1	0.467881
1	0.468906
1	0.469917
1	0.470989
1	0.472
1	0.473033
1	0.474043
1	0.475086
1	0.476167
1	0.477197
1	0.478229
1	0.479161
1	0.480162
1	0.481101
1	0.482096
1	0.483099
1	0.484071
1	0.485026
1	0.485979
1	0.487029
1	0.488063
1	0.489179
1	0.490243
1	0.49126
1	0.492246
1	0.4932
1	0.494219
1	0.495271
1	0.496197
1	0.497214
1	0.498234
1	0.499173
1	0.50016
1	0.501225
1	0.502201
1	0.503203
1	0.50421
1	0.505158
1	0.506156
1	0.507176
1	0.508115
1	0.509125
1	0.510075
1	0.511082
1	0.512073
1	0.512933
1	0.513902
1	0.514693
1	0.515766
1	0.516695
1	0.517748
1	0.518771
1	0.519796
1	0.52075
1	0.521718
1	0.522638
1	0.523622
1	0.524654
1	0.525665
1	0.526696
1	0.527694
1	0.528759
1	0.529712
1	0.530732
1	0.531709
1	0.532667
1	0.533667
1	0.534701
1	0.535632
1	0.536635
1	0.537657
1	0.538721
1	0.539744
1	0.540806
1	0.541784
1	0.542779
1	0.543797
1	0.544834
1	0.545844
1	0.546885
1	0.547883
1	0.548857
1	0.549867
1	0.550925
1	0.551872
1	0.552918
1	0.553906
1	0.554982
1	0.555958
1	0.556978
1	0.557986
1	0.559023
1	0.560006
1	0.561025
1	0.562043
1	0.563052
1	0.564033
1	0.564884
1	0.565945
1	0.566955
1	0.567993
1	0.568969
1	0.56997
1	0.57095
1	0.571909
1	0.572912
1	0.573962
1	0.574936
1	0.575941
1	0.576948
1	0.577955
1	0.578872
1	0.579851
1	0.580806
1	0.581795
1	0.582818
1	0.583864
1	0.584799
1	0.585898
1	0.586855
1	0.587851
1	0.588807
1	0.589793
1	0.590733
1	0.591799
1	0.592756
1	0.593716
1	0.594753
1	0.595774
1	0.596758
1	0.597702
1	0.598736
1	0.599695
1	0.600677
1	0.60168
1	0.602557
1	0.603523
1	0.604555
1	0.605605
1	0.606595
1	0.607646
1	0.608609
1	0.609574
1	0.610583
1	0.611624
1	0.612653
1	0.613651
1	0.614718
1	0.61571
1	0.616647
1	0.617678
1	0.618588
1	0.619633
1	0.620615
1	0.62158
1	0.622496
1	0.62347
1	0.624523
1	0.625469
1	0.62647
1	0.627481
1	0.628413
1	0.629328
1	0.630213
1	0.631269
1	0.632248
1	0.6333
1	0.634322
1	0.635408
1	0.636402
0.999622	0.637321
0.999622	0.638293
0.999622	0.639326
0.999622	0.640366
0.999622	0.641316
0.999622	0.642326
0.999622	0.643325
0.999622	0.644358
0.999622	0.645362
0.999622	0.646431
0.999622	0.647258
0.999622	0.648327
0.999622	0.649352
0.999622	0.650402
0.999622	0.651397
0.999622	0.652393
0.999622	0.653367
0.999244	0.65441
0.999244	0.655436
0.999244	0.656507
0.999244	0.657504
0.998866	0.658538
0.998488	0.659632
0.998488	0.660693
0.99811	0.661669
0.99811	0.662727
0.99811	0.663758
0.99811	0.664762
0.99811	0.665768
0.99811	0.666724
0.99811	0.667751
0.99811	0.668687
0.99811	0.669775
0.99811	0.670903
0.99811	0.67196
0.99811	0.673042
0.99811	0.674081
0.99811	0.675115
0.99811	0.676159
0.997732	0.677178
0.996977	0.678199
0.996599	0.679232
0.996599	0.680247
0.996221	0.68122
0.996221	0.682266
0.996221	0.683256
0.996221	0.684252
