Sn	Sp
1	0.558442
1	0.559404
1	0.560366
1	0.560366
1	0.56229
1	0.564695
1	0.564695
1	0.566138
1	0.5671
1	0.5671
1	0.570467
1	0.57191
1	0.573834
1	0.573834
1	0.573834
1	0.576239
1	0.576239
1	0.577201
1	0.577682
1	0.579606
1	0.581049
1	0.582973
1	0.583935
1	0.585378
1	0.587783
1	0.588264
1	0.590188
1	0.590188
1	0.593555
1	0.594517
1	0.594517
1	0.595479
1	0.595479
1	0.596922
1	0.598365
1	0.598846
1	0.599327
1	0.60077
1	0.60077
1	0.601251
1	0.602213
1	0.602694
1	0.604137
1	0.604137
1	0.605099
1	0.606061
1	0.606061
1	0.606061
1	0.606061
1	0.606061
1	0.607504
1	0.607985
1	0.608466
1	0.608947
1	0.609428
1	0.612314
1	0.612314
1	0.6152
1	0.618567
1	0.619529
1	0.619529
1	0.619529
1	0.620972
1	0.621934
1	0.621934
1	0.622415
1	0.622415
1	0.623377
1	0.623858
1	0.626263
1	0.626744
1	0.628187
1	0.62963
1	0.62963
1	0.62963
1	0.630111
1	0.630592
1	0.631073
1	0.632035
1	0.632035
1	0.632997
1	0.633959
1	0.634921
1	0.638288
1	0.638769
1	0.638769
1	0.639731
1	0.641655
1	0.641655
1	0.641655
1	0.64406
1	0.64406
1	0.645984
1	0.648389
1	0.649351
1	0.650794
1	0.650794
1	0.650794
1	0.653199
1	0.654161
1	0.654642
1	0.657047
1	0.657047
1	0.658009
1	0.65849
1	0.659452
1	0.659933
1	0.659933
1	0.660414
1	0.660414
1	0.661857
1	0.662819
1	0.662819
1	0.663781
1	0.665224
1	0.667148
1	0.667629
1	0.670034
1	0.670515
1	0.670996
1	0.672439
1	0.672439
1	0.673401
1	0.673882
1	0.673882
1	0.674363
1	0.674844
1	0.675325
1	0.675806
1	0.676287
1	0.678211
1	0.678692
1	0.680616
1	0.681097
1	0.681578
1	0.681578
1	0.681578
1	0.682059
1	0.682059
1	0.683983
1	0.686388
1	0.688312
1	0.688312
1	0.688793
1	0.690717
1	0.692641
1	0.693122
1	0.693603
1	0.694565
1	0.698413
1	0.698413
1	0.698413
1	0.701299
1	0.701299
1	0.701299
1	0.702742
1	0.702742
1	0.702742
1	0.702742
1	0.703704
1	0.703704
1	0.704185
1	0.706109
1	0.708514
1	0.709476
1	0.709957
1	0.711881
1	0.714767
1	0.715248
1	0.715729
1	0.715729
1	0.716691
1	0.716691
1	0.718615
1	0.720058
1	0.720058
1	0.720058
1	0.721982
1	0.721982
1	0.722463
1	0.722463
1	0.723425
1	0.724387
1	0.725349
1	0.726311
1	0.727273
1	0.728716
1	0.729197
1	0.731121
1	0.731121
1	0.732083
1	0.735931
1	0.736412
1	0.736412
1	0.736893
1	0.737374
1	0.737855
1	0.737855
1	0.738817
1	0.740741
1	0.741703
1	0.744108
1	0.74507
1	0.746032
1	0.746513
1	0.746994
1	0.747956
1	0.748437
1	0.748918
1	0.748918
1	0.749399
1	0.750842
1	0.750842
1	0.751323
1	0.751804
1	0.756133
1	0.758057
1	0.758057
1	0.758538
1	0.758538
1	0.7595
1	0.760943
1	0.760943
1	0.761424
1	0.762386
1	0.762386
1	0.765272
1	0.766234
1	0.768158
1	0.76912
1	0.769601
1	0.771525
1	0.773449
1	0.774411
1	0.776335
1	0.776816
1	0.77874
1	0.779221
1	0.779221
1	0.779702
1	0.780183
1	0.781626
1	0.781626
1	0.78355
1	0.784993
1	0.78836
1	0.789803
1	0.790284
1	0.790765
1	0.791246
1	0.791727
1	0.792689
1	0.79317
1	0.793651
1	0.794613
1	0.796537
1	0.797018
1	0.799423
1	0.799904
1	0.801347
1	0.801347
1	0.804714
1	0.804714
1	0.806157
1	0.806638
1	0.806638
1	0.809043
1	0.811929
1	0.813372
1	0.814334
1	0.815296
1	0.81722
1	0.817701
1	0.818663
1	0.819625
1	0.821549
1	0.823473
1	0.828283
1	0.829245
1	0.830688
1	0.832612
1	0.833574
1	0.835017
1	0.83646
1	0.83646
1	0.838865
1	0.839346
1	0.840789
1	0.84127
1	0.841751
1	0.842713
1	0.843194
1	0.845118
1	0.845118
1	0.845118
1	0.84608
1	0.847042
1	0.848004
1	0.848004
1	0.85089
1	0.851371
1	0.853295
1	0.853295
1	0.853295
1	0.855219
1	0.857143
1	0.859067
1	0.859067
1	0.86051
1	0.864839
1	0.86532
1	0.86532
1	0.86532
1	0.868206
1	0.87013
1	0.870611
1	0.871092
1	0.872054
1	0.872054
1	0.873497
1	0.875421
1	0.876383
1	0.876383
1	0.877345
1	0.878307
1	0.878307
1	0.880231
1	0.880712
1	0.881674
1	0.881674
1	0.883117
1	0.884079
1	0.884079
1	0.886003
1	0.886484
1	0.886965
1	0.887927
1	0.888889
1	0.888889
1	0.889851
1	0.890813
1	0.893218
1	0.893218
1	0.893218
1	0.894661
1	0.895623
1	0.896585
1	0.897066
1	0.897547
1	0.897547
1	0.897547
1	0.898509
1	0.899471
1	0.900433
1	0.901395
1	0.901876
1	0.902357
1	0.9038
1	0.9038
1	0.904762
1	0.906686
1	0.907648
1	0.90861
1	0.909091
1	0.911496
1	0.912939
1	0.91342
1	0.914382
1	0.915344
1	0.915825
1	0.919192
1	0.919192
1	0.920154
1	0.922078
1	0.922078
1	0.92304
1	0.923521
1	0.924483
1	0.925445
1	0.926407
1	0.927369
1	0.92785
1	0.929293
1	0.929774
1	0.930255
1	0.93266
1	0.933622
1	0.933622
1	0.934584
1	0.936027
1	0.936989
1	0.936989
1	0.936989
1	0.93747
1	0.938432
1	0.939394
0.999519	0.941799
0.999519	0.943723
0.999519	0.944204
0.999519	0.946128
0.999519	0.948533
0.999519	0.949976
0.999519	0.950457
0.999038	0.953343
0.999038	0.953343
0.999038	0.953824
0.999038	0.954305
0.999038	0.955748
0.999038	0.955748
0.999038	0.957191
0.999038	0.957191
0.999038	0.960077
0.999038	0.960077
0.999038	0.961039
0.999038	0.962001
0.999038	0.963444
0.998557	0.963925
0.998557	0.965849
0.998557	0.967773
0.998557	0.968254
0.998557	0.968254
0.998557	0.969697
0.998557	0.970178
0.998557	0.970178
0.998557	0.971621
0.998557	0.973545
0.998557	0.973545
0.998557	0.974026
0.998557	0.974988
0.998076	0.977393
0.996633	0.98076
0.996152	0.981241
0.994228	0.985089
0.994228	0.986051
0.992785	0.986532
0.99038	0.988456
0.981722	0.99038
0.978355	0.991342
0.974026	0.991823
0.959596	0.993266
0.955748	0.993266
0.953343	0.993266
0.939875	0.995671
0.91342	0.996152
0.881193	0.997114
0.429533	1
